field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
목포시 우미파렌하이트아파트,8,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
부영애시앙일차아파트,1,AC완속,"전라남도 목포시 당가두로13번길 35 (옥암동, 부영애시앙)",정보없음,정,전라남도 목포시 당가두로13번길 35 (옥암동),126.43881871457354,34.809776972330084
목포시 포미타운주공1단지,6,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 신안비치팔레스아파트,7,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 호반리젠시빌스위트,2,AC완속,"전라남도 목포시 용당로331번길 881P B2,2P B2,3P B2,4P B1(1025 호반리젠시빌스위트)",24시간 이용가능,유,전라남도 목포시 용당로331번길 88 (용해동),126.39454096321676,34.81711133779782
광주전남)목포 지점,1,AC완속,전라남도 목포시 영산로 489,평일 08:30~17:30,정,전라남도 목포시 영산로 489 (상동),126.41672259561273,34.809648985964294
목포시 옥암코아루,2,AC완속,전라남도 목포시 당가두로13번길 1246번 주변(1149 코아루아파트 46번 주변),24시간 이용가능,유,전라남도 목포시 당가두로13번길 35 (옥암동),126.43881871457354,34.809776972330084
목포시 부림장,2,AC완속,전라남도 목포시 삼학로18번길 15주차장,24시간(업소고객전용),정,전라남도 목포시 삼학로18번길 15 (호남동),126.38901236481641,34.789695767718875
목포시 우미파렌하이트아파트,2,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 하당제일풍경채3차,1,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
케이티용당빌딩,11,AC완속,전라남도 목포시 용당로 257 (용당동)주차장,비개방,유,전라남도 목포시 용당로 256 (용당동),126.39919003028704,34.80970984639131
옥암푸르지오,3,AC완속,"전라남도 목포시 남악1로 511주차장B1C5기둥,2주차장B1O5기둥",09:00~18:00,유,전라남도 목포시 남악1로 60 (옥암동),126.44527462860982,34.810421927316625
목포시 신안비치팔레스아파트,8,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 호반리젠시빌스위트,1,AC완속,"전라남도 목포시 용당로331번길 881P B2,2P B2,3P B2,4P B1(1025 호반리젠시빌스위트)",24시간 이용가능,유,전라남도 목포시 용당로331번길 88 (용해동),126.39454096321676,34.81711133779782
목포석현동센트럴카운티 2차(입주민 전용),4,AC완속,전라남도 목포시 청호로136번길 22(1837 라송센트럴카운티2차아파트),24시간 이용가능,정,전라남도 목포시 청호로136번길 22 (산정동),126.37779510053014,34.80511404926092
목포시 우미파렌하이트아파트,3,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 텐호텔,1,AC완속,전라남도 목포시 삼향천로 61주차장(옥암동 1017-1),24시간 이용가능,정,전라남도 목포시 삼향천로 61 (옥암동),126.4331835198716,34.80646798584
목포시 포미타운주공1단지,2,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 신안비치팔레스아파트,4,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
케이티하당빌딩,31,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
목포시 호반리젠시빌스위트,3,AC완속,"전라남도 목포시 용당로331번길 881P B2,2P B2,3P B2,4P B1(1025 호반리젠시빌스위트)",24시간 이용가능,유,전라남도 목포시 용당로331번길 88 (용해동),126.39454096321676,34.81711133779782
목포석현동센트럴카운티 5차(입주민 전용),4,AC완속,전라남도 목포시 영산로 648-24(라송센트럴카운티5차 아파트),24시간 이용가능,정,전라남도 목포시 영산로 648-24 (석현동),126.42654329138014,34.82025183572888
옥암푸르지오,2,AC완속,"전라남도 목포시 남악1로 511주차장B1C5기둥,2주차장B1O5기둥",09:00~18:00,유,전라남도 목포시 남악1로 60 (옥암동),126.44527462860982,34.810421927316625
목포시 우미파렌하이트아파트,4,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 포미타운주공1단지,3,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 하당제일풍경채3차,2,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
케이티하당빌딩,11,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
목포시 옥암코아루,3,AC완속,전라남도 목포시 당가두로13번길 1246번 주변(1149 코아루아파트 46번 주변),24시간 이용가능,유,전라남도 목포시 당가두로13번길 35 (옥암동),126.43881871457354,34.809776972330084
롯데렌터카 목포사업장(입주사 전용),2,DC콤보,전라남도 목포시 백년대로 272(상동 902-1),24시간 이용가능,정,전라남도 목포시 백년대로 272 (상동),126.41810988642756,34.802410626513485
현대 목포지점(현대차 전용),2,DC콤보,전라남도 목포시 남악로 123(옥암동 1363-5),24시간 이용가능,정,전라남도 목포시 남악로 123 (옥암동),126.4520287311307,34.80563985502527
옥암푸르지오,4,AC완속,"전라남도 목포시 남악1로 511주차장B1C5기둥,2주차장B1O5기둥",09:00~18:00,유,전라남도 목포시 남악1로 60 (옥암동),126.44527462860982,34.810421927316625
목포시 포미타운주공1단지,4,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 하당제일풍경채3차,5,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
기아오토큐 목포서비스,1,DC차데모+DC콤보,전라남도 목포시 남악로58번길 10(옥암동 1381-2),24시간 이용가능,정,전라남도 목포시 남악로58번길 10 (옥암동),126.44528783434424,34.80368800303307
케이티하당빌딩,4,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
목포시 호반리젠시빌스위트,4,AC완속,"전라남도 목포시 용당로331번길 881P B2,2P B2,3P B2,4P B1(1025 호반리젠시빌스위트)",24시간 이용가능,유,전라남도 목포시 용당로331번길 88 (용해동),126.39454096321676,34.81711133779782
목포석현동센트럴카운티 3차(입주민 전용),5,AC완속,전라남도 목포시 석현로45번길 22-10(1179 목포석현동라송센트럴카운티3차아파트),24시간 이용가능,정,전라남도 목포시 석현로45번길 22-10 (석현동),126.42667893509474,34.81800505567837
목포시 텐호텔,2,AC완속,전라남도 목포시 삼향천로 61주차장(옥암동 1017-1),24시간 이용가능,정,전라남도 목포시 삼향천로 61 (옥암동),126.4331835198716,34.80646798584
로얄호텔,1,AC완속,전라남도 목포시 통일대로 12(상동)(상동 1115-3),24시간 이용가능,정,전라남도 목포시 통일대로 12 (상동),126.42665860563432,34.797347437743596
부영애시앙일차아파트,2,AC완속,"전라남도 목포시 당가두로13번길 35 (옥암동, 부영애시앙)",정보없음,정,전라남도 목포시 당가두로13번길 35 (옥암동),126.43881871457354,34.809776972330084
케이티하당빌딩,12,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
목포시 하당제일풍경채3차,6,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
국민서관(입주사 전용),1,AC완속,전라남도 목포시 번영로 167(상동 779-4),24시간 이용가능,정,전라남도 목포시 번영로 167 (상동),126.41958894879589,34.81125698275709
옥암푸르지오,5,AC완속,"전라남도 목포시 남악1로 511주차장B1C5기둥,2주차장B1O5기둥",09:00~18:00,유,전라남도 목포시 남악1로 60 (옥암동),126.44527462860982,34.810421927316625
목포석현동센트럴카운티 3차(입주민 전용),1,AC완속,전라남도 목포시 석현로45번길 22-10(1179 목포석현동라송센트럴카운티3차아파트),24시간 이용가능,정,전라남도 목포시 석현로45번길 22-10 (석현동),126.42667893509474,34.81800505567837
스카이모텔,2,AC완속,전라남도 목포시 신흥로59번길 15,24시간 이용가능,정,전라남도 목포시 신흥로59번길 15 (상동),126.42596126973595,34.80514565478246
